"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"	"year_start"
"Psychology"	"Arts and Sciences"	"University of Toledo"	"Psychology"	19000	"1.01"	"2020-2021"	"1st"	"University Fellowship recipient, remission of all required fees except parking (approx. $125 not <span class=\\truncated\\> needed this semester).</span>"	"$19,000"	"NA"	"NA"	"NA"	"University of Toledo"	"Toledo, OH"	"Toledo, OH"	"NA"	30430.4	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Tulsa"	"Psychology"	14000	"0.71"	"2020-2021"	"1st"	"NA"	"NA"	"$14,000"	"NA"	"NA"	"University of Tulsa"	"Tulsa, OK"	"Tulsa, OK"	"121"	31740.8	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Utah"	"Psychology"	25000	"1.12"	"2021-2022"	"3rd"	"NA"	"$25,000"	"NA"	"NA"	"NA"	"University of Utah"	"Salt Lake City, UT"	"Salt Lake City, UT"	"104"	35464	12875.2	0	0	"2021"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	24000	"1.05"	"2020-2021"	"3rd"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	24000	"1.05"	"2020-2021"	"1st"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	24000	"1.05"	"2020-2021"	"5th"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	24000	"1.05"	"2020-2021"	"5th"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	32000	"1.40"	"2021-2022"	"NA"	"NA"	"$32,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2021"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	24000	"1.05"	"2020-2021"	"NA"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Virginia"	"Psychology"	24000	"1.05"	"2021-2022"	"5th"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	"28"	38168	12875.2	0	0	"2021"
"Psychology"	"Arts and Sciences"	"University of Wisconsin - Madison"	"Psychology"	18100	"0.79"	"2020-2021"	"1st"	"NA"	"NA"	"$18,100"	"NA"	"NA"	"University of Wisconsin--Madison"	"Madison, WI"	"Madison, WI"	"46"	36441.6	12875.2	0.0306186868686869	0	"2020"
"Psychology"	"Arts and Sciences"	"University of Wisconsin - Milwaukee"	"Psychology"	17800	"0.83"	"2021-2022"	"5th"	"NA"	"NA"	"$16,500"	"$2,200"	"$900"	"University of Wisconsin--Milwaukee"	"Milwaukee, WI"	"Milwaukee-Waukesha-West Allis, WI"	"NA"	33779.2	12875.2	0.0288515406162466	0	"2021"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	31000	"1.35"	"2020-2021"	"1st"	"NA"	"$31,000"	"NA"	"NA"	"NA"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	29666	"1.29"	"2020-2021"	"2nd"	"NA"	"NA"	"$26,500"	"$3,666"	"$500"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	30740	"1.34"	"2020-2021"	"4th"	"NA"	"NA"	"$26,500"	"$5,500"	"$1,260"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	28200	"1.23"	"2020-2021"	"4th"	"Can get more summer funding from advisor&#39;s grants, but it&#39;s capped below the 9-month amount. <span class=\\truncated\\> Student fees just doubled.</span>"	"NA"	"$26,500"	"$3,000"	"$1,300"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	30350	"1.32"	"2020-2021"	"2nd"	"NA"	"$31,000"	"NA"	"NA"	"$650"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	32000	"1.39"	"2021-2022"	"5th"	"Constant pay level throughout PhD program"	"$32,000"	"NA"	"NA"	"NA"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2021"
"Psychology"	"Arts and Sciences"	"Vanderbilt University"	"Psychology"	32000	"1.39"	"2023-2024"	"4th"	"NA"	"$33,500"	"NA"	"NA"	"$1,500"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"15"	35318.4	12875.2	0	0	"2023"
"Psychology"	"Arts and Sciences"	"Virginia Commonwealth University"	"Psychology"	20800	"0.84"	"2021-2022"	"1st"	"NA"	"$22,600"	"NA"	"NA"	"$1,800"	"Virginia Commonwealth University"	"Richmond, VA"	"Richmond, VA"	"162"	38438.4	12875.2	0	0	"2021"
"Psychology"	"Arts and Sciences"	"Virginia Commonwealth University"	"Psychology"	15500	"0.62"	"2021-2022"	"1st"	"NA"	"$20,000"	"NA"	"NA"	"$4,500"	"Virginia Commonwealth University"	"Richmond, VA"	"Richmond, VA"	"162"	38438.4	12875.2	0	0	"2021"
"Psychology"	"Arts and Sciences"	"West Virginia University"	"Psychology"	18825	"0.84"	"2020-2021"	"1st"	"NA"	"NA"	"$16,500"	"$3,000"	"$675"	"West Virginia University"	"Morgantown, WV"	"Morgantown, WV"	"228"	33259.2	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"West Virginia University"	"Psychology"	18150	"0.81"	"2020-2021"	"4th"	"NA"	"NA"	"$18,000"	"$1,500"	"$1,350"	"West Virginia University"	"Morgantown, WV"	"Morgantown, WV"	"228"	33259.2	12875.2	0	0	"2020"
"Psychology"	"Arts and Sciences"	"West Virginia University"	"Psychology"	16000	"0.72"	"2021-2022"	"1st"	"NA"	"$16,000"	"NA"	"NA"	"NA"	"West Virginia University"	"Morgantown, WV"	"Morgantown, WV"	"228"	33259.2	12875.2	0	0	"2021"
"Public Administration"	"Arts and Sciences"	"University of Nebraska - Omaha"	"Public Administration"	20500	"1.01"	"2020-2021"	"3rd"	"NA"	"NA"	"$18,000"	"$2,500"	"NA"	"University of Nebraska--Omaha"	"Omaha, NE"	"Omaha-Council Bluffs, NE"	"NA"	35068.8	12875.2	0.0337164750957855	0	"2020"
"SEOE"	"Arts and Sciences"	"Colorado State University"	"SEOE"	31000	"1.38"	"2020-2021"	"1st"	"NA"	"$34,000"	"NA"	"NA"	"$3,000"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"Cornell University"	"SEOE"	28037	"1.16"	"2020-2021"	"1st"	"NA"	"NA"	"$28,037"	"NA"	"NA"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"Florida State University"	"SEOE"	23840	"1.02"	"2022-2023"	"1st"	"The required fees include a compulsory academic fee of $970 per semester and 24% of the original <span class=\\truncated\\> cost of the insurance. FSU bears the other 76%.</span>"	"$27,540"	"NA"	"NA"	"$3,700"	"Florida State University"	"Tallahassee, FL"	"Tallahassee, FL"	"57"	32656	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"Florida State University"	"SEOE"	24210	"1.04"	"2022-2023"	"5th"	"Stipends received a (~25%) pay raise for the 2022-2023 school year. The 9 month pay listed reflects <span class=\\truncated\\> this raise. The Summer/Other reflects my pay this past summer (prior to the raise). I am unsure how summer pay will be handled going forward.</span>"	"NA"	"$21,060"	"$5,400"	"$2,250"	"Florida State University"	"Tallahassee, FL"	"Tallahassee, FL"	"57"	32656	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"Georgia Institute of Technology"	"SEOE"	27079	"1.16"	"2021-2022"	"1st"	"NA"	"$29,000"	"NA"	"NA"	"$1,921"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2021"
"SEOE"	"Arts and Sciences"	"Iowa State University"	"SEOE"	22500	"1.06"	"2022-2023"	"4th"	"NA"	"$24,000"	"NA"	"NA"	"$1,500"	"Iowa State University"	"Ames, IA"	"Ames, IA"	"121"	33113.6	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"Iowa State University"	"SEOE"	21900	"1.03"	"2022-2023"	"2nd"	"NA"	"NA"	"$18,900"	"$3,000"	"NA"	"Iowa State University"	"Ames, IA"	"Ames, IA"	"121"	33113.6	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"North Carolina State University"	"SEOE"	15200	"0.67"	"2022-2023"	"4th"	"NA"	"NA"	"$18,000"	"NA"	"$2,800"	"North Carolina A&T State University"	"Greensboro, NC"	"Greensboro-High Point, NC"	"281"	33529.6	12875.2	0.0703533026113672	0	"2022"
"SEOE"	"Arts and Sciences"	"Northern Arizona University"	"SEOE"	12084	"0.52"	"2020-2021"	"5th"	"$13,500 is the standard MS salary. It is up to your advisor/their funds whether you get paid over <span class=\\truncated\\> the summer (which is additional to the $13,500, if available). You are responsible for paying fees, which increase over time and are now at ~$700/semester. Any course fees are on top of that baseline, and it&#39;s important to know that many of the graduate Geology field trip classes have $100 fees.</span>"	"NA"	"$13,500"	"NA"	"$1,416"	"Northern Arizona University"	"Flagstaff, AZ"	"Flagstaff, AZ"	"NA"	37856	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"Northern Arizona University"	"SEOE"	18584	"0.79"	"2020-2021"	"5th"	"$20,000 is the standard PhD salary. It is up to your advisor/their funds whether you get paid over <span class=\\truncated\\> the summer (which is additional to the $20,000, if available). You are responsible for paying fees, which increase over time and are now at ~$700/semester. Any course fees are on top of that baseline, and it&#39;s important to know that many of the graduate Geology field trip classes have $100 fees.</span>"	"NA"	"$20,000"	"NA"	"$1,416"	"Northern Arizona University"	"Flagstaff, AZ"	"Flagstaff, AZ"	"NA"	37856	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"Northern Arizona University"	"SEOE"	18584	"0.79"	"2020-2021"	"5th"	"$20,000 is the standard PhD salary. It is up to your advisor/their funds whether you get paid over <span class=\\truncated\\> the summer (which is additional to the $20,000, if available). You are responsible for paying fees, which increase over time and are now at ~$700/semester. Any course fees are on top of that baseline, and it&#39;s important to know that many of the graduate Geology field trip classes have $100 fees.</span>"	"NA"	"$20,000"	"NA"	"$1,416"	"Northern Arizona University"	"Flagstaff, AZ"	"Flagstaff, AZ"	"NA"	37856	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"Oregon State University"	"SEOE"	25971	"1.24"	"2020-2021"	"4th"	"Excellent health insurance"	"$31,675"	"NA"	"NA"	"$5,704"	"Oregon State University"	"Corvallis, OR"	"Corvallis, OR"	"139"	38500.8	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"Oregon State University"	"SEOE"	31771	"1.52"	"2022-2023"	"3rd"	"NA"	"$33,516"	"NA"	"NA"	"$1,745"	"Oregon State University"	"Corvallis, OR"	"Corvallis, OR"	"139"	38500.8	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"Purdue University - West Lafayette"	"SEOE"	24876	"1.18"	"2020-2021"	"4th"	"RA pay - all grads in department recently got a pay raise this year after not getting a cost of <span class=\\truncated\\> living raise for 10+ years</span>"	"$25,176"	"NA"	"NA"	"$300"	"Purdue University--West Lafayette"	"West Lafayette, IN"	"Lafayette-West Lafayette, IN"	"57"	32364.8	12875.2	0.060958853238265	0	"2020"
"SEOE"	"Arts and Sciences"	"University at Albany - SUNY"	"SEOE"	26500	"1.16"	"2021-2022"	"1st"	"NA"	"$26,500"	"NA"	"NA"	"NA"	"University at Albany--SUNY"	"Albany, NY"	"Albany-Schenectady-Troy, NY"	"147"	36441.6	12875.2	0.0375118708452042	0	"2021"
"SEOE"	"Arts and Sciences"	"University of Alaska - Fairbanks"	"SEOE"	31596	"1.32"	"2020-2021"	"1st"	"8.5 months- 4078 each month"	"NA"	"NA"	"NA"	"NA"	"University of Alaska--Fairbanks"	"Fairbanks, AK"	"Fairbanks, AK"	"263"	33779.2	16099.2	0.0315860215053764	0	"2020"
"SEOE"	"Arts and Sciences"	"University of Hawaii - Manoa"	"SEOE"	28100	"0.92"	"2022-2023"	"3rd"	"NA"	"$29,000"	"NA"	"NA"	"$900"	"University of Hawaii--Manoa"	"Honolulu, HI"	"Urban Honolulu, HI"	"166"	45385.6	14830.4	0.0361552028218695	0	"2022"
"SEOE"	"Arts and Sciences"	"University of Houston"	"SEOE"	19800	"0.91"	"2022-2023"	"1st"	"I have to pay around 1500 to compensate my health insurance"	"NA"	"$19,800"	"NA"	"NA"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"University of Houston"	"SEOE"	18300	"0.84"	"2022-2023"	"NA"	"NA"	"NA"	"$18,900"	"NA"	"$600"	"University of Houston"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"185"	34091.2	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"SEOE"	23935	"1.04"	"2020-2021"	"1st"	"Required fees &#34;may run as high as $920/semester&#34;."	"$25,775"	"NA"	"NA"	"$1,840"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	"70"	37856	12875.2	0.0558487058487058	0	"2020"
"SEOE"	"Arts and Sciences"	"University of Nebraska - Lincoln"	"SEOE"	19000	"0.97"	"2020-2021"	"1st"	"NA"	"$20,000"	"NA"	"NA"	"$1,000"	"University of Nebraska--Lincoln"	"Lincoln, NE"	"Lincoln, NE"	"139"	33862.4	12875.2	0.0315860215053764	0	"2020"
"SEOE"	"Arts and Sciences"	"University of Nebraska - Lincoln"	"SEOE"	19600	"1.01"	"2021-2022"	"4th"	"NA"	"$22,800"	"NA"	"NA"	"$3,200"	"University of Nebraska--Lincoln"	"Lincoln, NE"	"Lincoln, NE"	"139"	33862.4	12875.2	0.0315860215053764	0	"2021"
"SEOE"	"Arts and Sciences"	"University of North Dakota"	"SEOE"	29100	"1.51"	"2022-2023"	"3rd"	"Fees based on 15 credits/yr. Pay based on successful pass of the written qualification exam."	"$30,000"	"NA"	"NA"	"$900"	"University of North Dakota"	"Grand Forks, ND"	"Grand Forks, ND"	"263"	31158.4	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"University of North Dakota"	"SEOE"	27100	"1.41"	"2022-2023"	"1st"	"Fees based on 15 credits/yr."	"$28,000"	"NA"	"NA"	"$900"	"University of North Dakota"	"Grand Forks, ND"	"Grand Forks, ND"	"263"	31158.4	12875.2	0	0	"2022"
"SEOE"	"Arts and Sciences"	"University of Utah"	"SEOE"	30000	"1.35"	"2020-2021"	"NA"	"NA"	"$30,000"	"NA"	"NA"	"NA"	"University of Utah"	"Salt Lake City, UT"	"Salt Lake City, UT"	"104"	35464	12875.2	0	0	"2020"
"SEOE"	"Arts and Sciences"	"University of Washington"	"SEOE"	41027	"1.76"	"2022-2023"	"5th"	"Student receiving external fellowships get required fees waived, and a bonus fellowship incentive <span class=\\truncated\\> award (not included here)</span>"	"$41,804"	"NA"	"NA"	"$777"	"University of Washington"	"Seattle, WA"	"Seattle-Tacoma-Bellevue, WA"	"62"	41204.8	12875.2	0	0	"2022"
"Social Work"	"Social Work"	"Michigan State University"	"Social Work"	21450	"1.05"	"2021-2022"	"NA"	"NA"	"NA"	"$21,450"	"NA"	"NA"	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	"84"	32552	12875.2	0	0	"2021"
"Social Work"	"Social Work"	"New York University"	"Social Work"	30000	"1.01"	"2020-2021"	"2nd"	"NA"	"NA"	"$30,000"	"NA"	"NA"	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"29"	47236.8	12875.2	0	0	"2020"
"Social Work"	"Social Work"	"New York University"	"Social Work"	40000	"-1.35"	"2022-2023"	"1st"	"NA"	"$10,000"	"NA"	"NA"	"$50,000"	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"29"	47236.8	12875.2	0	0	"2022"
"Social Work"	"Social Work"	"San Diego State University"	"Social Work"	20000	"0.76"	"2022-2023"	"6th and up"	"Interdisciplinary Research on Substance Use"	"$22,000"	"NA"	"NA"	"$2,000"	"San Diego State University"	"San Diego, CA"	"San Diego-Carlsbad, CA"	"147"	45489.6	12875.2	0	0	"2022"
"Social Work"	"Social Work"	"University at Buffalo - SUNY"	"Social Work"	28000	"1.33"	"2020-2021"	"NA"	"NA"	"NA"	"$28,000"	"NA"	"NA"	"University at Buffalo--SUNY"	"Buffalo, NY"	"Buffalo-Cheektowaga-Niagara Falls, NY"	"79"	35464	12875.2	0.0361552028218695	0	"2020"
"Social Work"	"Social Work"	"University of Chicago"	"Social Work"	29000	"1.20"	"2020-2021"	"1st"	"NA"	"$31,000"	"NA"	"NA"	"$2,000"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"6"	38313.6	12875.2	0	0	"2020"
"Social Work"	"Social Work"	"University of Chicago"	"Social Work"	33000	"1.36"	"2020-2021"	"6th and up"	"NA"	"$33,000"	"NA"	"NA"	"NA"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"6"	38313.6	12875.2	0	0	"2020"
"Social Work"	"Social Work"	"University of Chicago"	"Social Work"	33000	"1.36"	"2020-2021"	"1st"	"NA"	"$33,000"	"NA"	"NA"	"NA"	"University of Chicago"	"Chicago, IL"	"Chicago-Naperville-Elgin, IL"	"6"	38313.6	12875.2	0	0	"2020"
"Social Work"	"Social Work"	"University of Louisville"	"Social Work"	21000	"1.02"	"2020-2021"	"NA"	"NA"	"$21,000"	"NA"	"NA"	"NA"	"University of Louisville"	"Louisville, KY"	"Louisville/Jefferson County, KY"	"192"	32697.6	12875.2	0	0	"2020"
"Social Work"	"Social Work"	"University of Michigan - Ann Arbor"	"Social Work"	26400	"1.14"	"2022-2023"	"1st"	"NA"	"$26,400"	"NA"	"NA"	"NA"	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	"25"	38542.4	12875.2	0.0505421865715983	0	"2022"
"Social Work"	"Social Work"	"University of Minnesota - Twin Cities"	"Social Work"	17604	"0.77"	"2021-2022"	"NA"	"NA"	"NA"	"$17,604"	"NA"	"NA"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	"70"	37856	12875.2	0.0558487058487058	0	"2021"
"Social Work"	"Social Work"	"Washington University in St. Louis"	"Social Work"	35000	"1.69"	"2020-2021"	"1st"	"Olin Fellowship. No fees that I know of (yet?)."	"$35,000"	"NA"	"NA"	"NA"	"Washington University in St. Louis"	"St. Louis, MO"	"St. Louis, MO"	"19"	33945.6	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Brown University"	"Sociology"	32000	"1.41"	"2020-2021"	"4th"	"NA"	"$32,000"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Brown University"	"Sociology"	42000	"1.85"	"2022-2023"	"5th"	"NA"	"$42,000"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2022"
"Sociology"	"Arts and Sciences"	"Brown University"	"Sociology"	40000	"1.76"	"2022-2023"	"6th and up"	"12 months approximate stipend"	"$40,000"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2022"
"Sociology"	"Arts and Sciences"	"Cornell University"	"Sociology"	34605	"1.43"	"2020-2021"	"1st"	"NA"	"NA"	"$28,654"	"$6,037"	"$86"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Cornell University"	"Sociology"	34000	"1.40"	"2020-2021"	"1st"	"NA"	"NA"	"$28,000"	"$6,000"	"NA"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Cornell University"	"Sociology"	30000	"-1.24"	"2020-2021"	"1st"	"NA"	"$5,000"	"NA"	"NA"	"$35,000"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	"17"	39020.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Duke University"	"Sociology"	33660	"1.51"	"2022-2023"	"1st"	"Recent one-time, university-wide $1,000 stipend increase.  Also recent announcement of increased <span class=\\truncated\\> annual stipend next academic year to $38,600. </span>"	"$33,660"	"NA"	"NA"	"NA"	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	"10"	35838.4	12875.2	0	0	"2022"
"Sociology"	"Arts and Sciences"	"Florida State University"	"Sociology"	19841	"0.85"	"2021-2022"	"1st"	"Health Care Subsidy brings the cost of health insurance to $600"	"NA"	"$18,078"	"$4,519"	"$2,756"	"Florida State University"	"Tallahassee, FL"	"Tallahassee, FL"	"57"	32656	12875.2	0	0	"2021"
"Sociology"	"Arts and Sciences"	"Harvard University"	"Sociology"	36600	"1.28"	"2020-2021"	"1st"	"NA"	"NA"	"$30,500"	"$6,100"	"NA"	"Harvard University"	"Cambridge, MA"	"Boston-Cambridge-Newton, MA"	"2"	46924.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Louisiana State University - Baton Rouge"	"Sociology"	12051	"0.55"	"2020-2021"	"4th"	"Fees are slowly decreasing. No health care. Stipends are NOT set to go up any time soon. Stipends <span class=\\truncated\\> do not change at any time during your time in the program. A first year graduate assistant gets the same amount as a fifth year teaching an intro class with 200 students.</span>"	"NA"	"$15,051"	"NA"	"$3,000"	"Louisiana State University--Baton Rouge"	"Baton Rouge, LA"	"Baton Rouge, LA"	"153"	34028.8	12875.2	0.0559154295996402	0	"2020"
"Sociology"	"Arts and Sciences"	"Michigan State University"	"Sociology"	17900	"0.87"	"2021-2022"	"1st"	"NA"	"NA"	"$17,900"	"NA"	"NA"	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	"84"	32552	12875.2	0	0	"2021"
"Sociology"	"Arts and Sciences"	"Michigan State University"	"Sociology"	24200	"1.18"	"2020-2021"	"1st"	"Stipend is for TA work -- amount to increase by a pre-determined percentage (idk what) each year. <span class=\\truncated\\> Health insurance valued at ~$2700 included, as well as tuition waiver worth about $37k as an out of state student. Summer funding amount isn&#39;t set, but is through an RA position on an NIH funded project.</span>"	"NA"	"$19,200"	"$5,000"	"NA"	"Michigan State University"	"East Lansing, MI"	"Lansing-East Lansing, MI"	"84"	32552	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"New York University"	"Sociology"	33500	"1.13"	"2020-2021"	"1st"	"NA"	"NA"	"$30,000"	"$3,500"	"NA"	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"29"	47236.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"New York University"	"Sociology"	39500	"1.33"	"2020-2021"	"1st"	"Deans doctoral fellowship/MacCracken"	"$39,500"	"NA"	"NA"	"NA"	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"29"	47236.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"New York University"	"Sociology"	29800	"1.00"	"2020-2021"	"6th and up"	"Also has a childcare stipend"	"$29,800"	"NA"	"NA"	"NA"	"New York University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"29"	47236.8	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"Northeastern University"	"Sociology"	39000	"1.36"	"2022-2023"	"NA"	"NA"	"$39,000"	"NA"	"NA"	"NA"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2022"
"Sociology"	"Arts and Sciences"	"Northwestern University"	"Sociology"	33801	"1.39"	"2021-2022"	"5th"	"NA"	"$34,176"	"NA"	"NA"	"$375"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0.0289855072463768	0	"2021"
"Sociology"	"Arts and Sciences"	"Northwestern University"	"Sociology"	35196	"1.45"	"2022-2023"	"1st"	"NA"	"$35,196"	"NA"	"NA"	"NA"	"Northeastern University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0.0289855072463768	0	"2022"
"Sociology"	"Arts and Sciences"	"Rice University"	"Sociology"	28388	"1.30"	"2020-2021"	"NA"	"$48,330 tuition waiver."	"NA"	"NA"	"NA"	"NA"	"Rice University"	"Houston, TX"	"Houston-The Woodlands-Sugar Land, TX"	"17"	34091.2	12875.2	0	0	"2020"
"Sociology"	"Arts and Sciences"	"University at Albany - SUNY"	"Sociology"	25600	"1.12"	"2020-2021"	"NA"	"International Student (= more fees)"	"NA"	"$18,000"	"$8,000"	"$400"	"University at Albany--SUNY"	"Albany, NY"	"Albany-Schenectady-Troy, NY"	"147"	36441.6	12875.2	0.0375118708452042	0	"2020"
"Sociology"	"Arts and Sciences"	"University at Buffalo - SUNY"	"Sociology"	17000	"0.81"	"2021-2022"	"1st"	"NA"	"$20,000"	"NA"	"NA"	"$3,000"	"University at Buffalo--SUNY"	"Buffalo, NY"	"Buffalo-Cheektowaga-Niagara Falls, NY"	"79"	35464	12875.2	0.0361552028218695	0	"2021"
"Sociology"	"Arts and Sciences"	"University of Arizona"	"Sociology"	19683	"0.95"	"2021-2022"	"NA"	"International Student."	"$20,500"	"NA"	"NA"	"$817"	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	"117"	32156.8	12875.2	0	0	"2021"
"Sociology"	"Arts and Sciences"	"University of Arizona"	"Sociology"	20500	"0.99"	"2022-2023"	"1st"	"I have the option to teach during the summer because I have my Master&#39;s Degree (and teaching <span class=\\truncated\\> experience). </span>"	"NA"	"$20,500"	"NA"	"NA"	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	"117"	32156.8	12875.2	0	0	"2022"
